ⲁϥϫⲟⲟⲥ	ⲁ|ϥ|ϫⲟⲟ|ⲥ
ⲛϥⲛϩⲉⲛϩⲉⲑⲛⲟⲥ	ⲛ|ϥ|ⲛ|ϩⲉⲛ|ϩⲉⲑⲛⲟⲥ
ⲉϩⲉⲛⲧⲟϣⲉ	ⲉ|ϩⲉⲛ|ⲧⲟϣⲉ
ⲛⲟⲩⲟⲩ	ⲛⲟⲩ|ⲟⲩ
ⲛⲧⲁϣⲟⲛⲧⲉ	ⲛ|ⲧⲁ|ϣⲟⲛⲧⲉ
ⲉⲧⲃⲉⲡⲛⲟⲃⲉ	ⲉⲧⲃⲉ|ⲡ|ⲛⲟⲃⲉ
ⲛⲧⲁⲡⲙⲟⲩ	ⲛⲧ|ⲁ|ⲡ|ⲙⲟⲩ
ⲛⲧⲁϩⲁⲡ	ⲛ|ⲧⲁ|ϩⲁⲡ
ϩⲉⲛϫⲡⲓⲟ	ϩⲉⲛ|ϫⲡⲓⲟ
ⲛⲧⲉⲩⲫⲣⲟⲥⲩⲛⲏ	ⲛ|ⲧ|ⲉⲩⲫⲣⲟⲥⲩⲛⲏ
ⲛⲧⲁⲣⲓⲙⲉ	ⲛ|ⲧⲁ|ⲣⲓⲙⲉ
ϩⲙⲡⲁⲓⲱⲛ	ϩⲙ|ⲡ|ⲁⲓⲱⲛ
ⲁⲡⲉⲙⲕⲁϩ	ⲁ|ⲡⲉ|ⲙⲕⲁϩ
ϩⲛⲧⲉⲕⲧⲏⲥⲓⲥ	ϩⲛ|ⲧⲉ|ⲕⲧⲏⲥⲓⲥ
ⲛⲧⲁⲡⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ	ⲛ|ⲧⲁ|ⲡ|ⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ
ⲉⲁⲩϣⲟⲩⲟ	ⲉ|ⲁ|ⲩ|ϣⲟⲩⲟ
ⲛϭⲓⲛⲕⲁⲧⲁϩⲣⲁⲕⲧⲏⲥ	ⲛϭⲓ|ⲛ|ⲕⲁⲧⲁϩⲣⲁⲕⲧⲏⲥ
ⲛⲛⲟⲣⲅⲏ	ⲛ|ⲛ|ⲟⲣⲅⲏ
ⲉⲁⲩⲟⲩⲱⲛ	ⲉ|ⲁ|ⲩ|ⲟⲩⲱⲛ
ⲛϭⲓⲙⲡⲩⲅⲏ	ⲛϭⲓ|ⲙ|ⲡⲩⲅⲏ
ⲙⲡⲛⲟⲩⲛ	ⲙ|ⲡ|ⲛⲟⲩⲛ
ⲁⲩⲃⲣⲃⲣ	ⲁ|ⲩ|ⲃⲣⲃⲣ
ⲛϫⲓⲕⲃⲁ	ⲛ|ϫⲓⲕⲃⲁ
ⲉϥⲱⲧⲉ	ⲉ|ϥⲱⲧⲉ
ⲙⲡⲧⲁⲙⲓⲟ	ⲙ|ⲡ|ⲧⲁⲙⲓⲟ
ⲉⲧϩⲓϫⲙⲡϩⲟ	ⲉⲧ|ϩⲓϫⲙ|ⲡ|ϩⲟ
ⲧⲙⲛⲧⲡⲁⲣⲁⲃⲁⲧⲏⲥ	ⲧ|ⲙⲛⲧⲡⲁⲣⲁⲃⲁⲧⲏⲥ
ⲛⲛⲉⲅⲣⲏⲅⲟⲣⲟⲥ	ⲛ|ⲛ|ⲉⲅⲣⲏⲅⲟⲣⲟⲥ
ⲉⲧⲉⲛⲅⲓⲅⲁⲥ	ⲉⲧⲉ|ⲛ|ⲅⲓⲅⲁⲥ
ⲧⲉⲛⲧⲁⲥⲉⲓⲛⲉ	ⲧ|ⲉⲛⲧ|ⲁ|ⲥ|ⲉⲓⲛⲉ
ⲙⲡⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ	ⲙ|ⲡ|ⲕⲁⲧⲁⲕⲗⲩⲥⲙⲟⲥ
ⲙⲛⲡⲥⲱⲱϥ	ⲙⲛ|ⲡ|ⲥⲱⲱϥ
ⲙⲛⲡⲉⲣϩⲱⲃ	ⲙⲛ|ⲡⲉ|ⲣϩⲱⲃ
ⲉⲁⲕⲁⲑⲁⲣⲥⲓⲁ	ⲉ|ⲁⲕⲁⲑⲁⲣⲥⲓⲁ
ⲡⲉⲛⲧⲁϥⲣⲱⲕϩ	ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ⲣⲱⲕϩ
ⲛⲥⲟⲇⲟⲙⲁ	ⲛ|ⲥⲟⲇⲟⲙⲁ
ⲙⲛⲅⲟⲙⲟⲣⲣⲁ	ⲙⲛ|ⲅⲟⲙⲟⲣⲣⲁ
ⲧⲙⲛⲧⲡⲉⲣⲓⲉⲣⲅⲟⲥ	ⲧ|ⲙⲛⲧⲡⲉⲣⲓⲉⲣⲅⲟⲥ
ⲛⲭⲁⲗⲁⲛⲏ	ⲛ|ⲭⲁⲗⲁⲛⲏ
ⲛⲧⲁⲥⲧⲣⲉⲩϣⲓⲃⲉ	ⲛⲧ|ⲁ|ⲥ|ⲧⲣⲉ|ⲩ|ϣⲓⲃⲉ
ⲛϭⲓⲛⲁⲥⲡⲉ	ⲛϭⲓ|ⲛ|ⲁⲥⲡⲉ
ϣⲁⲛⲧⲟⲩϫⲱⲣ	ϣⲁⲛⲧ|ⲟⲩ|ϫⲱⲣ
ⲙⲛⲧⲙⲛⲧⲛⲁϣⲧ	ⲙⲛ|ⲧ|ⲙⲛⲧⲛⲁϣⲧ
ⲙⲁⲕϩ	ⲙⲁⲕϩ
ⲙⲫⲁⲣⲁⲱ	ⲙ|ⲫⲁⲣⲁⲱ
ⲛⲉⲛⲧⲁⲩⲱϫⲛ	ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ⲱϫⲛ
ⲛⲕⲏⲙⲉ	ⲛ|ⲕⲏⲙⲉ
ⲧⲁⲛⲟⲙⲓⲁ	ⲧ|ⲁⲛⲟⲙⲓⲁ
ⲛⲧⲙⲛⲧⲣⲉϥϣⲙϣⲉ	ⲛ|ⲧ|ⲙⲛⲧⲣⲉϥϣⲙϣⲉ
ⲉⲓⲇⲱⲗⲟⲛ	ⲉⲓⲇⲱⲗⲟⲛ
ⲛⲉⲛⲧⲁⲩϥⲱⲧⲉ	ⲛ|ⲉⲛⲧ|ⲁ|ⲩ|ϥⲱⲧⲉ
ⲛⲧⲁⲥⲣⲱϩⲧ	ⲛⲧ|ⲁ|ⲥ|ⲣⲱϩⲧ
ⲙⲡⲥⲉ	ⲙ|ⲡ|ⲥⲉ
ϩⲛⲟⲩⲥⲏϥⲉ	ϩⲛ|ⲟⲩ|ⲥⲏϥⲉ
ⲙⲛⲟⲩⲕⲱϩⲧ	ⲙⲛ|ⲟⲩ|ⲕⲱϩⲧ
ⲙⲛϩⲉⲛϩⲟϥ	ⲙⲛ|ϩⲉⲛ|ϩⲟϥ
ϫⲉⲁⲩⲥⲱⲧⲡ	ϫⲉ|ⲁ|ⲩ|ⲥⲱⲧⲡ
ⲡⲉⲩⲛⲟⲩⲧⲉ	ⲡⲉⲩ|ⲛⲟⲩⲧⲉ
ϩⲙⲡⲁϭⲱⲛⲧ	ϩⲙ|ⲡⲁ|ϭⲱⲛⲧ
ϯⲛⲁⲣⲧϩⲁⲗⲁⲥⲥⲁ	ϯ|ⲛⲁ|ⲣ|ⲧ|ϩⲁⲗⲁⲥⲥⲁ
ⲧⲁⲕⲁⲛⲉⲓⲉⲣⲱⲟⲩ	ⲧⲁ|ⲕⲁ|ⲛ|ⲉⲓⲉⲣⲱⲟⲩ
ⲛⲥⲉϣⲟⲟⲩⲉ	ⲛ|ⲥⲉ|ϣⲟⲟⲩⲉ
ⲛϭⲓⲛⲉⲩⲧⲃⲧ	ⲛϭⲓ|ⲛⲉⲩ|ⲧⲃⲧ
ϫⲉⲙⲛⲙⲟⲟⲩ	ϫⲉ|ⲙⲛ|ⲙⲟⲟⲩ
ⲛⲥⲉⲙⲟⲩ	ⲛ|ⲥⲉ|ⲙⲟⲩ
ⲉⲧⲃⲉⲡⲉⲓⲃ	ⲉⲧⲃⲉ|ⲡ|ⲉⲓⲃ
ⲛⲧⲁⲕⲁⲧⲉⲥϩⲃⲥⲱ	ⲛ|ⲧⲁ|ⲕⲁ|ⲧⲉⲥ|ϩⲃⲥⲱ
ⲛⲟⲩϭⲟⲟⲩⲛⲉ	ⲛ|ⲟⲩ|ϭⲟⲟⲩⲛⲉ
ⲉⲣⲉⲡⲉⲓϩⲟⲟⲩ	ⲉⲣⲉ|ⲡⲉⲓ|ϩⲟⲟⲩ
ⲛⲧⲉⲓⲟⲩⲛⲟⲩ	ⲛ|ⲧⲉⲓ|ⲟⲩⲛⲟⲩ
ⲛⲁⲕⲁⲧⲁⲥⲧⲣⲉⲫⲉ	ⲛⲁ|ⲕⲁⲧⲁⲥⲧⲣⲉⲫⲉ
ⲛⲧⲕⲟⲥⲙⲏⲥⲓⲥ	ⲛ|ⲧ|ⲕⲟⲥⲙⲏⲥⲓⲥ
ϫⲓⲛⲙⲡϣⲁⲥⲱⲛⲧ	ϫⲓⲛ|ⲙ|ⲡ|ϣⲁⲥⲱⲛⲧ
ⲙⲁⲣⲛⲥⲱⲧⲙ	ⲙⲁⲣ|ⲛ|ⲥⲱⲧⲙ
ⲉⲧⲃⲉⲧⲟⲓⲕⲟⲇⲟⲙⲏ	ⲉⲧⲃⲉ|ⲧ|ⲟⲓⲕⲟⲇⲟⲙⲏ
ⲉⲛⲧⲁⲥⲟⲗⲟⲙⲱⲛ	ⲉⲛⲧ|ⲁ|ⲥⲟⲗⲟⲙⲱⲛ
ⲕⲟⲧϥ	ⲕⲟⲧ|ϥ
ⲛⲏⲥⲩⲭⲓⲁ	ⲛ|ⲏⲥⲩⲭⲓⲁ
ⲡⲉⲛⲧⲁϥϣϭⲙϭⲟⲙ	ⲡ|ⲉⲛⲧ|ⲁ|ϥ|ϣϭⲙϭⲟⲙ
ⲉϣⲣϣⲱⲣϥ	ⲉ|ϣⲣϣⲱⲣ|ϥ
ϣⲁⲁⲛⲉϥⲥⲛⲧⲉ	ϣⲁⲁ|ⲛⲉϥ|ⲥⲛⲧⲉ
ⲙⲙⲛⲧⲉⲣⲟ	ⲙ|ⲙⲛⲧⲉⲣⲟ
ⲉⲧⲃⲉⲡⲣⲡⲉ	ⲉⲧⲃⲉ|ⲡ|ⲣⲡⲉ
ⲛϩⲁⲧⲏⲣ	ⲛ|ϩⲁⲧⲏⲣ
ϩⲣⲟⲟⲩ	ϩⲣⲟⲟⲩ
ⲛⲥⲟⲧⲃⲉϥ	ⲛ|ⲥⲟⲧⲃⲉϥ
ϩⲓⲧⲛⲧⲉϥⲙⲛⲧⲥⲁⲃⲉ	ϩⲓⲧⲛ|ⲧⲉϥ|ⲙⲛⲧⲥⲁⲃⲉ
ⲁϥⲕⲁⲟⲩⲧⲟⲡⲟⲥ	ⲁ|ϥ|ⲕⲁ|ⲟⲩ|ⲧⲟⲡⲟⲥ
ⲉⲩⲣϩⲱⲃ	ⲉ|ⲩ|ⲣϩⲱⲃ
ⲛⲧⲁϥⲁⲁϥ	ⲛⲧ|ⲁ|ϥ|ⲁⲁ|ϥ
ϫⲉⲉⲛⲉⲡⲉϩⲣⲟⲟⲩ	ϫⲉ|ⲉⲛⲉ|ⲡⲉ|ϩⲣⲟⲟⲩ
ⲛⲛⲣⲉϥⲣⲉⲓⲟⲡⲉ	ⲛ|ⲛ|ⲣⲉϥⲣⲉⲓⲟⲡⲉ
ⲛⲙⲙⲁⲁϫⲉ	ⲛ|ⲙ|ⲙⲁⲁϫⲉ
ⲛⲥⲉⲧⲙⲕⲁⲁϥ	ⲛ|ⲥⲉ|ⲧⲙ|ⲕⲁⲁ|ϥ
ⲛⲛⲉⲧⲛⲏⲩ	ⲛ|ⲛ|ⲉⲧ|ⲛⲏⲩ
ⲛⲟⲩⲉⲓⲣⲏⲛⲏ	ⲛ|ⲟⲩ|ⲉⲓⲣⲏⲛⲏ
ⲙⲡⲟⲗⲉⲙⲟⲥ	ⲙ|ⲡⲟⲗⲉⲙⲟⲥ
ⲛⲉⲡⲓⲃⲟⲗⲏ	ⲛ|ⲉⲡⲓⲃⲟⲗⲏ
ⲉⲛⲉⲙⲛⲧϥⲗⲁⲁⲩ	ⲉⲛⲉ|ⲙⲛⲧ|ϥ|ⲗⲁⲁⲩ
ⲛⲧⲙⲛⲧⲉⲣⲟ	ⲛ|ⲧ|ⲙⲛⲧⲉⲣⲟ
ⲉⲛⲉϣⲁϥⲧⲱⲟⲩⲛ	ⲉⲛⲉ|ϣⲁ|ϥ|ⲧⲱⲟⲩⲛ
ⲉⲛⲧⲁϥⲥⲃⲧⲱⲧϥ	ⲉⲛⲧ|ⲁ|ϥ|ⲥⲃⲧⲱⲧ|ϥ
ⲛϥϩⲙⲟⲟⲥ	ⲛ|ϥ|ϩⲙⲟⲟⲥ
ⲧⲁⲣⲉⲛⲉϩⲃⲏⲩⲉ	ⲧⲁⲣⲉ|ⲛⲉ|ϩⲃⲏⲩⲉ
ⲛⲥⲁⲛⲉⲩⲉⲣⲏⲩ	ⲛⲥⲁ|ⲛⲉⲩ|ⲉⲣⲏⲩ
ⲧⲙⲧⲉⲗⲁⲁⲩ	ⲧⲙ|ⲧⲉ|ⲗⲁⲁⲩ
ⲛⲁⲡⲣⲁⲅⲓⲁ	ⲛ|ⲁⲡⲣⲁⲅⲓⲁ
ⲛⲁⲙⲉⲗⲓⲁ	ⲛ|ⲁⲙⲉⲗⲓⲁ
ⲙⲡϥⲕⲁⲛⲧⲉⲭⲛⲓⲧⲏⲥ	ⲙⲡ|ϥ|ⲕⲁ|ⲛ|ⲧⲉⲭⲛⲓⲧⲏⲥ
ⲉⲛⲧⲁϥⲥⲙⲛⲧϥ	ⲉⲛⲧ|ⲁ|ϥ|ⲥⲙⲛⲧ|ϥ
ⲉⲛⲉⲡⲙⲁ	ⲉⲛⲉ|ⲡ|ⲙⲁ
ⲉϥⲧⲉϩⲧⲱϩ	ⲉ|ϥ|ⲧⲉϩⲧⲱϩ
ⲛⲥⲉⲧⲙϫⲓⲥⲙⲏ	ⲛ|ⲥⲉ|ⲧⲙ|ϫⲓⲥⲙⲏ
ⲉϥⲕⲱⲧ	ⲉ|ϥ|ⲕⲱⲧ
ⲙⲛⲛⲥⲁϫⲟⲩⲱⲧⲉ	ⲙⲛⲛⲥⲁ|ϫⲟⲩⲱⲧⲉ
ⲙⲡϫⲓⲁⲉⲓⲕ	ⲙ|ⲡ|ϫⲓⲁⲉⲓⲕ
ⲉⲣⲉⲡⲓⲥⲣⲁⲏⲗ	ⲉⲣⲉ|ⲡ|ⲓⲥⲣⲁⲏⲗ
ⲁϥⲕⲟⲗϫ	ⲁ|ϥ|ⲕⲟⲗϫ
ⲛⲛⲉϥⲡⲁⲧ	ⲛ|ⲛⲉϥ|ⲡⲁⲧ
ⲙⲡⲉⲑⲏⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ	ⲙ|ⲡⲉ|ⲑⲏⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ
ⲉⲣⲉⲛⲉϥϭⲓϫ	ⲉⲣⲉ|ⲛⲉϥ|ϭⲓϫ
ⲛⲧⲡⲉⲣⲱϣⲉ	ⲛ|ⲧ|ⲡⲉ|ⲣⲱϣⲉ
ϫⲉⲛⲁⲙⲉ	ϫⲉ|ⲛⲁⲙⲉ
ⲉⲛⲉⲣⲉⲡⲛⲟⲩⲧⲉ	ⲉⲛⲉ|ⲣⲉ|ⲡ|ⲛⲟⲩⲧⲉ
ⲛϥⲟⲩⲱϩ	ⲛ|ϥ|ⲟⲩⲱϩ
ⲉⲧⲉⲣⲉⲡⲉⲕϩⲙϩⲁⲗ	ⲉⲧⲉⲣⲉ|ⲡⲉⲕ|ϩⲙϩⲁⲗ
ⲉⲩⲉϣⲱⲡⲉ	ⲉⲩⲉ|ϣⲱⲡⲉ
ⲉⲩⲟⲩⲏⲛ	ⲉ|ⲩ|ⲟⲩⲏⲛ
ⲉϫⲙⲡⲉⲓⲏⲓ	ⲉϫⲙ|ⲡⲉⲓ|ⲏⲓ
ⲙⲛⲛⲥⲁⲧⲉϥⲡⲁⲣⲁⲕⲗⲏⲥⲓⲥ	ⲙⲛⲛⲥⲁ|ⲧⲉϥ|ⲡⲁⲣⲁⲕⲗⲏⲥⲓⲥ
ϩⲓϫⲙⲡⲉⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ	ϩⲓϫⲙ|ⲡⲉ|ⲑⲩⲥⲓⲁⲥⲧⲏⲣⲓⲟⲛ
ϫⲉⲁⲓⲥⲱⲧⲙ	ϫⲉ|ⲁ|ⲓ|ⲥⲱⲧⲙ
ⲉⲡⲉⲕϣⲗⲏⲗ	ⲉ|ⲡⲉⲕ|ϣⲗⲏⲗ
ⲉⲛⲧⲁⲕⲁⲁϥ	ⲉⲛⲧ|ⲁ|ⲕ|ⲁⲁ|ϥ
ⲙⲉⲓⲟⲩⲱϩ	ⲙⲉ|ⲓ|ⲟⲩⲱϩ
ϩⲛⲏⲓ	ϩⲛ|ⲏⲓ
ⲉⲧⲃⲉⲡⲉⲕϩⲓⲥⲉ	ⲉⲧⲃⲉ|ⲡⲉⲕ|ϩⲓⲥⲉ
ⲉⲧⲉⲧⲛϣⲁⲛϩⲁⲣⲉϩ	ⲉⲧⲉⲧⲛϣⲁⲛ|ϩⲁⲣⲉϩ
ⲉⲛⲁⲉⲛⲧⲟⲗⲏ	ⲉ|ⲛⲁ|ⲉⲛⲧⲟⲗⲏ
ⲙⲛⲛⲁϩⲁⲡ	ⲙⲛ|ⲛⲁ|ϩⲁⲡ
ⲉⲛⲧⲁⲓⲧⲁⲁⲩ	ⲉⲛⲧ|ⲁ|ⲓ|ⲧⲁⲁ|ⲩ
ⲉⲧⲟⲧⲧⲏⲩⲧⲛ	ⲉⲧⲟⲧ|ⲧⲏⲩⲧⲛ
ⲛⲁⲃⲁⲗ	ⲛⲁ|ⲃⲁⲗ
ⲙⲛⲛⲁⲙⲁⲁϫⲉ	ⲙⲛ|ⲛⲁ|ⲙⲁⲁϫⲉ
ⲉⲛⲧⲁⲕⲕⲟⲧϥ	ⲉⲛⲧ|ⲁ|ⲕ|ⲕⲟⲧ|ϥ
ⲉⲧⲉⲧⲛϣⲁⲛⲡⲁⲣⲁⲃⲁ	ⲉⲧⲉⲧⲛϣⲁⲛ|ⲡⲁⲣⲁⲃⲁ
ⲛⲛⲁⲉⲛⲧⲟⲗⲏ	ⲛ|ⲛⲁ|ⲉⲛⲧⲟⲗⲏ
ϯⲛⲁⲛⲟϫϥ	ϯ|ⲛⲁ|ⲛⲟϫ|ϥ
ⲛⲥⲉϣⲣϣⲱⲣϥ	ⲛ|ⲥⲉ|ϣⲣϣⲱⲣ|ϥ
ⲛⲧⲉⲛⲉⲧⲡⲁⲣⲁⲅⲉ	ⲛⲧⲉ|ⲛ|ⲉⲧ|ⲡⲁⲣⲁⲅⲉ
ⲣϣⲡⲏⲣⲉ	ⲣϣⲡⲏⲣⲉ
ⲛⲥⲉϣϭⲁϭⲓϫ	ⲛ|ⲥⲉ|ϣ|ϭⲁ|ϭⲓϫ
ⲛⲥⲉϣⲙϣⲏϭⲉ	ⲛ|ⲥⲉ|ϣⲙϣⲏϭⲉ
ⲛⲥⲉϫⲟⲟⲥ	ⲛ|ⲥⲉ|ϫⲟⲟ|ⲥ
ϫⲉⲁⲩⲕⲱ	ϫⲉ|ⲁ|ⲩ|ⲕⲱ
ⲁⲩⲣϩⲙϩⲁⲗ	ⲁ|ⲩ|ⲣϩⲙϩⲁⲗ
ⲛϩⲉⲛⲕⲉⲛⲟⲩⲧⲉ	ⲛ|ϩⲉⲛ|ⲕⲉ|ⲛⲟⲩⲧⲉ
ϫⲉⲙⲛⲛⲥⲁⲧⲣⲉⲥⲟⲗⲟⲙⲱⲛ	ϫⲉ|ⲙⲛⲛⲥⲁ|ⲧⲣⲉ|ⲥⲟⲗⲟⲙⲱⲛ
ⲁⲩⲧⲟϭⲟⲩ	ⲁ|ⲩ|ⲧⲟϭ|ⲟⲩ
ⲉⲡⲉⲓϣⲃⲏⲣ	ⲉ|ⲡⲉⲓ|ϣⲃⲏⲣ
ⲉⲧⲉⲡⲛⲟⲃⲉ	ⲉⲧⲉ|ⲡ|ⲛⲟⲃⲉ
ⲉⲛⲧⲁϥⲧⲣⲉⲡϣⲟⲣⲡ	ⲉⲛⲧ|ⲁ|ϥ|ⲧⲣⲉ|ⲡ|ϣⲟⲣⲡ
ⲉⲁϥⲡⲱⲱⲛⲉ	ⲉ|ⲁ|ϥ|ⲡⲱⲱⲛⲉ
ⲛⲧⲁϥϣⲟⲣϣⲣ	ⲛⲧ|ⲁ|ϥ|ϣⲟⲣϣⲣ
ⲛⲛϩⲉⲃⲣⲁⲓⲟⲥ	ⲛ|ⲛ|ϩⲉⲃⲣⲁⲓⲟⲥ
ⲛⲛⲉⲭⲁⲗⲇⲁⲓⲟⲥ	ⲛ|ⲛⲉ|ⲭⲁⲗⲇⲁⲓⲟⲥ
ⲉϣⲁⲩϩⲉⲣⲙⲏⲛⲉⲩⲉ	ⲉ|ϣⲁ|ⲩ|ϩⲉⲣⲙⲏⲛⲉⲩⲉ
ϫⲉⲛⲉⲧϫⲱⲣ	ϫⲉ|ⲛ|ⲉⲧ|ϫⲱⲣ
ⲛⲉⲧⲧⲁⲕⲟ	ⲛ|ⲉⲧ|ⲧⲁⲕⲟ
ⲡⲉⲛⲧⲁⲥⲟⲗⲟⲙⲱⲛ	ⲡ|ⲉⲛⲧ|ⲁ|ⲥⲟⲗⲟⲙⲱⲛ
ⲣϫⲟⲩⲱⲧⲉ	ⲣ|ϫⲟⲩⲱⲧⲉ
ϩⲛϩⲉⲛⲱⲛⲉ	ϩⲛ|ϩⲉⲛ|ⲱⲛⲉ
ⲉⲩⲧⲁⲓⲏⲩ	ⲉ|ⲩ|ⲧⲁⲓⲏⲩ
ⲛⲉⲣⲅⲁⲥⲓⲁ	ⲛ|ⲉⲣⲅⲁⲥⲓⲁ
ϣⲙⲟⲩⲛ	ϣⲙⲟⲩⲛ
ⲛϥⲁⲓⲉⲧⲡⲱ	ⲛ|ϥⲁⲓⲉⲧⲡⲱ
ⲛ(?)ϣⲟⲙⲛⲧ	ⲛ(?)|ϣⲟⲙⲛⲧ
ϩⲙⲡⲗⲓⲃⲁⲛⲟⲥ	ϩⲙ|ⲡ|ⲗⲓⲃⲁⲛⲟⲥ
ⲉⲩⲕⲉⲣⲁⲓⲁϣⲉ	ⲉ|ⲩ|ⲕⲉⲣⲁⲓⲁ|ϣⲉ
ⲛⲗⲁⲧⲟⲙⲟⲥ	ⲛ|ⲗⲁⲧⲟⲙⲟⲥ
ϩⲙⲡⲧⲟⲟⲩ	ϩⲙ|ⲡ|ⲧⲟⲟⲩ
ⲛⲧⲉⲡⲉⲓϫⲁϫⲉ	ⲛⲧⲉ|ⲡⲉⲓ|ϫⲁϫⲉ
ⲧⲣⲉⲩϣⲣϣⲱⲣϥ	ⲧⲣⲉ|ⲩ|ϣⲣϣⲱⲣ|ϥ
ⲉⲛⲁϫⲟⲟⲥ	ⲉ|ⲛⲁ|ϫⲟⲟ|ⲥ
ⲡⲁⲣⲁⲟⲩⲣⲟⲙⲡⲉ	ⲡⲁⲣⲁ|ⲟⲩ|ⲣⲟⲙⲡⲉ
ⲛⲉⲛⲧⲁⲛⲉⲭⲁⲗⲇⲁⲓⲟⲥ	ⲛ|ⲉⲛⲧ|ⲁ|ⲛⲉ|ⲭⲁⲗⲇⲁⲓⲟⲥ
ϩⲓⲣⲱⲥ	ϩⲓⲣⲱ|ⲥ
ⲛⲧϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ	ⲛ|ⲧ|ϩⲓⲉⲣⲟⲩⲥⲁⲗⲏⲙ
ⲁⲧⲉⲓⲣⲟⲙⲡⲉ	ⲁ|ⲧⲉⲓ|ⲣⲟⲙⲡⲉ
ⲛⲧⲉⲓⲉⲣⲅⲁⲥⲓⲁ	ⲛ|ⲧⲉⲓ|ⲉⲣⲅⲁⲥⲓⲁ
ⲛⲧⲉⲓϫⲟⲩⲱⲧⲉ	ⲛ|ⲧⲉⲓ|ϫⲟⲩⲱⲧⲉ
ⲡⲉⲛⲧⲁⲛϩⲉⲃⲣⲁⲓⲟⲥ	ⲡ|ⲉⲛⲧ|ⲁ|ⲛ|ϩⲉⲃⲣⲁⲓⲟⲥ
ⲁⲛⲉⲭⲁⲗⲇⲁⲓⲟⲥ	ⲁ|ⲛⲉ|ⲭⲁⲗⲇⲁⲓⲟⲥ
ϣⲣϣⲱⲣϥ	ϣⲣϣⲱⲣ|ϥ
ⲉⲧⲃⲉⲧⲡⲁⲣⲁⲛⲟⲙⲓⲁ	ⲉⲧⲃⲉ|ⲧ|ⲡⲁⲣⲁⲛⲟⲙⲓⲁ
ⲡⲉⲛⲧⲁⲩⲕⲟⲧϥ	ⲡ|ⲉⲛⲧ|ⲁ|ⲩ|ⲕⲟⲧ|ϥ
ⲁⲩϣⲣϣⲱⲣϥ	ⲁ|ⲩ|ϣⲣϣⲱⲣ|ϥ
ⲛⲧⲁⲣⲁⲭⲏ	ⲛ|ⲧⲁⲣⲁⲭⲏ
ϩⲛⲟⲩⲥⲟⲫⲓⲁ	ϩⲛ|ⲟⲩ|ⲥⲟⲫⲓⲁ
ⲁⲥⲉⲇⲉⲕⲓⲁⲥ	ⲁ|ⲥⲉⲇⲉⲕⲓⲁⲥ
ϩⲛⲧⲉϥⲁⲛⲟⲙⲓⲁ	ϩⲛ|ⲧⲉϥ|ⲁⲛⲟⲙⲓⲁ
ⲛⲟⲩϫⲉ	ⲛⲟⲩϫⲉ
ⲙⲡⲉⲓϣⲁϫⲉ	ⲙ|ⲡⲉⲓ|ϣⲁϫⲉ
ⲉⲧⲣⲉϥϫⲟⲟϥ	ⲉ|ⲧⲣⲉ|ϥ|ϫⲟⲟ|ϥ
ϫⲉϣⲁⲣⲉϩⲉⲛⲥⲁⲃⲏ	ϫⲉ|ϣⲁⲣⲉ|ϩⲉⲛ|ⲥⲁⲃⲏ
ⲕⲉⲧϩⲉⲛⲏⲓ	ⲕⲉⲧ|ϩⲉⲛ|ⲏⲓ
ⲧⲉⲧⲛⲛⲁⲣⲁⲧϩⲏⲧ	ⲧⲉⲧⲛ|ⲛⲁ|ⲣⲁⲧϩⲏⲧ
ϣⲁⲥϣⲣϣⲱⲣϥ	ϣⲁ|ⲥ|ϣⲣϣⲱⲣ|ϥ
ⲛⲛⲉⲥϭⲓϫ	ⲛ|ⲛⲉⲥ|ϭⲓϫ
ϫⲉⲡⲥⲟⲟⲩⲛ	ϫⲉ|ⲡ|ⲥⲟⲟⲩⲛ
ϩⲓⲥⲟⲗⲟⲙⲱⲛ	ϩⲓ|ⲥⲟⲗⲟⲙⲱⲛ
ⲧⲕⲁⲧⲁⲥⲧⲣⲟⲫⲏ	ⲧ|ⲕⲁⲧⲁⲥⲧⲣⲟⲫⲏ
ⲙⲡⲧⲁⲕⲟ	ⲙ|ⲡ|ⲧⲁⲕⲟ
ϩⲓⲥⲉⲇⲉⲕⲓⲁⲥ	ϩⲓ|ⲥⲉⲇⲉⲕⲓⲁⲥ
ⲡⲉϩⲣⲟⲟⲩ	ⲡⲉ|ϩⲣⲟⲟⲩ
ⲛⲛⲥⲟⲧⲃⲉϥ	ⲛ|ⲛ|ⲥⲟⲧⲃⲉϥ
ⲉⲧⲉⲙⲡⲟⲩⲥⲱⲧⲙ	ⲉ|ⲧⲉ|ⲙⲡⲟⲩ|ⲥⲱⲧⲙ
ϩⲓⲧⲛⲥⲟⲗⲟⲙⲱⲛ	ϩⲓⲧⲛ|ⲥⲟⲗⲟⲙⲱⲛ
