ϯⲡⲣⲟⲥⲉⲩⲭⲏ	ϯ|ⲡⲣⲟⲥⲉⲩⲭⲏ
ⲉϯ	ⲉ|ϯ
ⲡⲁϣⲏⲣⲓ	ⲡⲁ|ϣⲏⲣⲓ
ⲁϥⲧⲁⲙⲟϥ	ⲁ|ϥ|ⲧⲁⲙⲟ|ϥ
ⲉϯⲁⲓⲧⲓⲁ	ⲉ|ϯ|ⲁⲓⲧⲓⲁ
ⲛⲧⲉⲡⲓϩⲱⲃ	ⲛⲧⲉ|ⲡⲓ|ϩⲱⲃ
ϧⲉⲛϯⲟⲩⲛⲟⲩ	ϧⲉⲛ|ϯ|ⲟⲩⲛⲟⲩ
ⲁϥⲁⲙⲟⲛⲓ	ⲁ|ϥ|ⲁⲙⲟⲛⲓ
ⲛⲧⲁⲫⲉ	ⲛ|ⲧ|ⲁⲫⲉ
ⲁϥϯⲫⲓ	ⲁ|ϥ|ϯⲫⲓ
ⲉⲣⲱⲥ	ⲉ|ⲣⲱ|ⲥ
ϫⲉⲡⲥⲙⲟⲩ	ϫⲉ|ⲡ|ⲥⲙⲟⲩ
ⲙⲡⲓⲑⲙⲏⲓ	ⲙ|ⲡⲓ|ⲑⲙⲏⲓ
ⲉϫⲉⲛⲧⲟⲩⲁⲫⲉ	ⲉϫⲉⲛ|ⲧⲟⲩ|ⲁⲫⲉ
ⲟⲩⲥⲙⲟⲩ	ⲟⲩ|ⲥⲙⲟⲩ
ⲛⲉⲙⲟⲩⲑⲉⲗⲏⲗ	ⲛⲉⲙ|ⲟⲩ|ⲑⲉⲗⲏⲗ
ⲁⲡⲓϧⲉⲗⲗⲟ	ⲁ|ⲡⲓ|ϧⲉⲗⲗⲟ
ⲙⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ	ⲙ|ⲡⲣⲉⲥⲃⲩⲧⲉⲣⲟⲥ
ⲭⲁϥ	ⲭⲁ|ϥ
ⲛϩⲁⲛⲉϩⲟⲟⲩ	ⲛ|ϩⲁⲛ|ⲉϩⲟⲟⲩ
ⲙⲁⲣⲉⲛⲧⲁⲥⲑⲟ	ⲙⲁⲣⲉ|ⲛ|ⲧⲁⲥⲑⲟ
ⲡⲓⲥⲁϫⲓ	ⲡⲓ|ⲥⲁϫⲓ
ⲉϫⲉⲛⲡⲓⲉϩⲟⲟⲩ	ⲉϫⲉⲛ|ⲡⲓ|ⲉϩⲟⲟⲩ
ϧⲉⲛⲡⲉϥⲏⲓ	ϧⲉⲛ|ⲡⲉϥ|ⲏⲓ
ⲧⲉⲛⲛⲁⲧⲁⲙⲱⲧⲉⲛ	ⲧⲉⲛ|ⲛⲁ|ⲧⲁⲙⲱ|ⲧⲉⲛ
ⲉⲡⲓϫⲱⲕ	ⲉ|ⲡⲓ|ϫⲱⲕ
ⲉⲧⲁⲩⲕⲱϯ	ⲉⲧ|ⲁ|ⲩ|ⲕⲱϯ
ⲉⲧⲉⲙⲡⲟⲩϫⲉⲙϥ	ⲉⲧⲉ|ⲙⲡ|ⲟⲩ|ϫⲉⲙ|ϥ
ⲛⲣⲓⲙⲓ	ⲛ|ⲣⲓⲙⲓ
ⲛⲉⲙⲟⲩϩⲏⲃⲓ	ⲛⲉⲙ|ⲟⲩ|ϩⲏⲃⲓ
ⲉⲛⲁϣⲱϥ	ⲉ|ⲛⲁϣⲱ|ϥ
ⲁⲡⲟⲩⲣⲁϣⲓ	ⲁ|ⲡⲟⲩ|ⲣⲁϣⲓ
ⲛϩⲏⲃⲓ	ⲛ|ϩⲏⲃⲓ
ⲉⲧⲁⲩⲙⲉϣⲧⲛⲓⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ	ⲉⲧ|ⲁ|ⲩ|ⲙⲉϣⲧ|ⲛⲓ|ⲙⲟⲛⲁⲥⲧⲏⲣⲓⲟⲛ
ⲙⲡⲟⲩϫⲉⲙϥ	ⲙⲡ|ⲟⲩ|ϫⲉⲙ|ϥ
ⲁⲩⲓ	ⲁ|ⲩ|ⲓ
ⲉⲩⲕⲱϯ	ⲉ|ⲩ|ⲕⲱϯ
ⲙⲡⲟⲩⲟⲩⲟⲛϩϥ	ⲙⲡ|ⲟⲩ|ⲟⲩⲟⲛϩ|ϥ
ⲉⲡⲉⲓⲇⲏ	ⲉⲡⲉⲓⲇⲏ
ⲧⲟⲩⲥⲩⲛⲏⲑⲉⲓⲁ	ⲧⲟⲩ|ⲥⲩⲛⲏⲑⲉⲓⲁ
ⲑⲁⲓ	ⲑⲁⲓ
ⲉⲩϣⲉⲡϧⲓⲥⲓ	ⲉ|ⲩ|ϣⲉⲡϧⲓⲥⲓ
ⲉⲑⲣⲟⲩⲛⲁϩⲙⲟⲩ	ⲉ|ⲑⲣ|ⲟⲩ|ⲛⲁϩⲙ|ⲟⲩ
ϩⲗⲓ	ϩⲗⲓ
ⲛⲉⲡⲓⲑⲩⲙⲓⲁ	ⲛ|ⲉⲡⲓⲑⲩⲙⲓⲁ
ⲛⲧⲉⲡⲓⲕⲟⲥⲙⲟⲥ	ⲛⲧⲉ|ⲡⲓ|ⲕⲟⲥⲙⲟⲥ
ⲉⲩⲓⲣⲓ	ⲉ|ⲩ|ⲓⲣⲓ
ⲛⲧⲟⲩⲥⲡⲟⲩⲇⲏ	ⲛ|ⲧⲟⲩ|ⲥⲡⲟⲩⲇⲏ
ⲉⲑⲣⲟⲩϫⲱⲕ	ⲉ|ⲑⲣ|ⲟⲩ|ϫⲱⲕ
ⲙⲡⲥⲁϫⲓ	ⲙ|ⲡ|ⲥⲁϫⲓ
ⲙⲡⲓⲥⲱⲧⲏⲣ	ⲙ|ⲡⲓ|ⲥⲱⲧⲏⲣ
ϫⲉⲙⲙⲟⲛ	ϫⲉ|ⲙⲙⲟⲛ
ⲡⲉⲑⲛⲁⲁⲥ	ⲡ|ⲉⲑ|ⲛⲁⲁ|ⲥ
ⲉⲧⲁⲓⲁⲅⲁⲡⲏ	ⲉ|ⲧⲁⲓ|ⲁⲅⲁⲡⲏ
ⲛⲧⲉⲟⲩⲁⲓ	ⲛⲧⲉ|ⲟⲩⲁⲓ
ⲛⲧⲉϥⲯⲩⲭⲏ	ⲛ|ⲧⲉϥ|ⲯⲩⲭⲏ
ⲉϫⲉⲛⲡⲉϥϣⲫⲏⲣ	ⲉϫⲉⲛ|ⲡⲉϥ|ϣⲫⲏⲣ
ⲉⲧⲁⲩⲛⲁⲩ	ⲉⲧ|ⲁ|ⲩ|ⲛⲁⲩ
ϫⲉⲙⲡⲟⲩⲟⲩⲟⲛϩϥ	ϫⲉ|ⲙⲡ|ⲟⲩ|ⲟⲩⲟⲛϩ|ϥ
ⲁⲩϣⲉ	ⲁ|ⲩ|ϣⲉ
ⲉⲣⲁⲕⲟϯ	ⲉ|ⲣⲁⲕⲟϯ
ⲙⲡⲓⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲙ|ⲡⲓ|ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲁⲩⲧⲁⲙⲟϥ	ⲁ|ⲩ|ⲧⲁⲙⲟ|ϥ
ⲉⲧⲁϥⲉⲣϩⲟϯ	ⲉⲧ|ⲁ|ϥ|ⲉⲣϩⲟϯ
ⲛϫⲉⲡⲓⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ	ⲛϫⲉ|ⲡⲓ|ⲁⲣⲭⲓⲉⲡⲓⲥⲕⲟⲡⲟⲥ
ⲛⲧⲟⲩⲧⲁⲙⲉϯⲉⲝⲟⲩⲥⲓⲁ	ⲛⲧ|ⲟⲩ|ⲧⲁⲙⲉ|ϯ|ⲉⲝⲟⲩⲥⲓⲁ
ⲁϥⲟⲩⲱⲣⲡ	ⲁ|ϥ|ⲟⲩⲱⲣⲡ
ⲛⲟⲩⲉⲡⲓⲥⲧⲟⲗⲏ	ⲛ|ⲟⲩ|ⲉⲡⲓⲥⲧⲟⲗⲏ
ⲛⲛⲟⲩⲭⲁϥ	ⲛⲛ|ⲟⲩ|ⲭⲁ|ϥ
ⲥⲁⲡⲉⲙⲉⲛⲧ	ⲥⲁ|ⲡ|ⲉⲙⲉⲛⲧ
ⲙⲫⲓⲁⲣⲟ	ⲙ|ⲫ|ⲓⲁⲣⲟ
ⲉⲛⲓϫⲟⲣϫⲥ	ⲉ|ⲛⲓ|ϫⲟⲣϫⲥ
ⲛⲧⲉⲡⲓⲇⲓⲁⲃⲟⲗⲟⲥ	ⲛⲧⲉ|ⲡⲓ|ⲇⲓⲁⲃⲟⲗⲟⲥ
ⲁϥⲥⲟⲧⲡⲥ	ⲁ|ϥ|ⲥⲟⲧⲡ|ⲥ
ⲉϣⲉⲡϩⲁⲛⲑⲃⲁ	ⲉ|ϣⲉⲡ|ϩⲁⲛ|ⲑⲃⲁ
ⲛⲕⲓⲛⲇⲩⲛⲟⲥ	ⲛ|ⲕⲓⲛⲇⲩⲛⲟⲥ
ⲉϩⲟⲧⲉ	ⲉϩⲟⲧⲉ
ⲉⲧⲏⲓϥ	ⲉ|ⲧⲏⲓ|ϥ
ⲛⲛⲉϥⲕⲁⲧⲁⲥⲁⲣⲝ	ⲛ|ⲛⲉϥ|ⲕⲁⲧⲁ|ⲥⲁⲣⲝ
ⲛⲕⲉⲥⲟⲡ	ⲛ|ⲕⲉ|ⲥⲟⲡ
ⲉϥϫⲱⲕ	ⲉ|ϥ|ϫⲱⲕ
ⲉⲑⲛⲁϣⲉⲡⲟⲩⲁⲗⲟⲩ	ⲉⲑ|ⲛⲁ|ϣⲉⲡ|ⲟⲩ|ⲁⲗⲟⲩ
ϧⲉⲛⲡⲁⲣⲁⲛ	ϧⲉⲛ|ⲡⲁ|ⲣⲁⲛ
ⲉⲧⲉϥϣⲱⲡ	ⲉⲧⲉ|ϥ|ϣⲱⲡ
ⲉⲧⲁϥϣⲉⲡϫⲱϥ	ⲉⲧ|ⲁ|ϥ|ϣⲉⲡ|ϫⲱ|ϥ
ⲛϯϩⲉⲃⲥⲱ	ⲛ|ϯ|ϩⲉⲃⲥⲱ
ⲛⲧⲉⲛⲓⲙⲟⲛⲁⲭⲟⲥ	ⲛⲧⲉ|ⲛⲓ|ⲙⲟⲛⲁⲭⲟⲥ
ⲛⲛⲉϥⲙⲁⲑⲏⲧⲏⲥ	ⲛ|ⲛⲉϥ|ⲙⲁⲑⲏⲧⲏⲥ
ⲁⲃⲣⲁⲁⲙ	ⲁⲃⲣⲁⲁⲙ
ⲉⲟⲩⲁⲥⲕⲏⲧⲏⲥ	ⲉ|ⲟⲩ|ⲁⲥⲕⲏⲧⲏⲥ
ϫⲉⲧⲱⲛⲕ	ϫⲉ|ⲧⲱⲛ|ⲕ
ϭⲓ	ϭⲓ
ⲙⲁϣⲉ	ⲙⲁϣⲉ
ⲉⲡⲧⲱⲟⲩ	ⲉ|ⲡ|ⲧⲱⲟⲩ
ⲙⲡⲁⲙⲁϩⲟ	ⲙ|ⲡⲁⲙⲁϩⲟ
ⲛⲱⲧⲉⲛⲙⲙⲁⲩ	ⲛⲱ|ⲧⲉⲛ|ⲙⲙⲁⲩ
ϣⲁⲧⲉⲡϭⲟⲉⲓⲥ	ϣⲁⲧⲉ|ⲡ|ϭⲟⲉⲓⲥ
ⲑⲱⲧ	ⲑⲱⲧ
ⲙⲡϩⲏⲧ	ⲙ|ⲡ|ϩⲏⲧ
ϯⲛⲁⲟⲩⲱⲣⲡ	ϯ|ⲛⲁ|ⲟⲩⲱⲣⲡ
ⲛⲥⲁⲑⲏⲛⲟⲩ	ⲛⲥⲁ|ⲑⲏⲛⲟⲩ
ⲁⲩⲧⲱⲟⲩⲛⲟⲩ	ⲁ|ⲩ|ⲧⲱⲟⲩⲛ|ⲟⲩ
ⲉⲧⲁϥϫⲟⲥ	ⲉⲧ|ⲁ|ϥ|ϫⲟ|ⲥ
ⲛϫⲉⲡⲟⲩⲓⲱⲧ	ⲛϫⲉ|ⲡⲟⲩ|ⲓⲱⲧ
ⲉⲧⲁⲩϣⲱⲡⲓ	ⲉⲧ|ⲁ|ⲩ|ϣⲱⲡⲓ
ϧⲉⲛⲡⲓⲧⲱⲟⲩ	ϧⲉⲛ|ⲡⲓ|ⲧⲱⲟⲩ
ϣⲁⲋ	ϣⲁ|ⲋ
ⲛⲁⲃⲟⲧ	ⲛ|ⲁⲃⲟⲧ
ⲛⲉⲙⲡⲓϧⲉⲗⲗⲟ	ⲛⲉⲙ|ⲡⲓ|ϧⲉⲗⲗⲟ
ⲁⲙⲟⲩ	ⲁⲙⲟⲩ
ϣⲁⲛⲁⲓⲟϯ	ϣⲁ|ⲛⲁ|ⲓⲟϯ
ⲛⲧⲁⲟⲩⲟⲛϩⲧ	ⲛ|ⲧⲁ|ⲟⲩⲟⲛϩ|ⲧ
ⲁⲓϣⲧⲉⲙⲟⲩⲟⲛϩⲧ	ⲁ|ⲓ|ϣⲧⲉⲙ|ⲟⲩⲟⲛϩ|ⲧ
ⲥⲉⲛⲁⲁⲓⲧ	ⲥⲉ|ⲛⲁ|ⲁⲓ|ⲧ
ⲛⲣⲉⲙϩⲉ	ⲛ|ⲣⲉⲙϩⲉ
ⲉⲧⲁⲡⲓϧⲉⲗⲗⲟ	ⲉⲧ|ⲁ|ⲡⲓ|ϧⲉⲗⲗⲟ
ⲥⲱⲧⲉⲙ	ⲥⲱⲧⲉⲙ
ⲉⲛⲁⲓ	ⲉ|ⲛⲁⲓ
ⲛⲓⲥⲁⲁⲕ	ⲛ|ⲓⲥⲁⲁⲕ
ⲁϥⲉⲣⲙⲁϩ	ⲁ|ϥ|ⲉⲣ|ⲙⲁϩ
ⲛϩⲏⲧ	ⲛ|ϩⲏⲧ
ⲉϥⲙⲉⲩⲓ	ⲉ|ϥ|ⲙⲉⲩⲓ
ϫⲉⲁⲡⲓⲁⲗⲟⲩ	ϫⲉ|ⲁ|ⲡⲓ|ⲁⲗⲟⲩ
ⲟⲩⲱⲙ	ⲟⲩⲱⲙ
ⲛϩⲑⲏϥ	ⲛ|ϩⲑⲏ|ϥ
ⲉⲭⲁⲧⲟⲧϥ	ⲉ|ⲭⲁ|ⲧⲟⲧ|ϥ
ϯⲙⲉⲧⲙⲟⲛⲁⲭⲟⲥ	ϯ|ⲙⲉⲧⲙⲟⲛⲁⲭⲟⲥ
ⲉⲑⲃⲉⲛⲓϩⲟϫϩⲉϫ	ⲉⲑⲃⲉ|ⲛⲓ|ϩⲟϫϩⲉϫ
ⲉⲧⲁⲩⲓ	ⲉⲧ|ⲁ|ⲩ|ⲓ
ⲡⲓϧⲉⲗⲗⲟ	ⲡⲓ|ϧⲉⲗⲗⲟ
ⲥⲁϫⲓ	ⲥⲁϫⲓ
ϫⲉⲙⲡⲣⲉⲣⲕⲟⲩϫⲓ	ϫⲉ|ⲙⲡⲣ|ⲉⲣ|ⲕⲟⲩϫⲓ
ϧⲉⲛⲛⲓϩⲟϫϩⲉϫ	ϧⲉⲛ|ⲛⲓ|ϩⲟϫϩⲉϫ
ⲥⲥϧⲏⲟⲩⲧ	ⲥ|ⲥϧⲏⲟⲩⲧ
ϫⲉⲡⲓϩⲟϫϩⲉϫ	ϫⲉ|ⲡⲓ|ϩⲟϫϩⲉϫ
ⲁϥⲉⲣϩⲱⲃ	ⲁ|ϥ|ⲉⲣϩⲱⲃ
ⲉⲟⲩϩⲩⲡⲟⲙⲟⲛⲏ	ⲉ|ⲟⲩ|ϩⲩⲡⲟⲙⲟⲛⲏ
ϯϩⲩⲡⲟⲙⲟⲛⲏ	ϯ|ϩⲩⲡⲟⲙⲟⲛⲏ
ⲉⲟⲩⲇⲟⲕⲓⲙⲏ	ⲉ|ⲟⲩ|ⲇⲟⲕⲓⲙⲏ
ϯⲇⲟⲕⲓⲙⲏ	ϯ|ⲇⲟⲕⲓⲙⲏ
ⲉⲟⲩϩⲉⲗⲡⲓⲥ	ⲉ|ⲟⲩ|ϩⲉⲗⲡⲓⲥ
ϯϩⲉⲗⲡⲓⲥ	ϯ|ϩⲉⲗⲡⲓⲥ
ⲙⲡⲁⲥϭⲓϣⲓⲡⲓ	ⲙⲡⲁ|ⲥ|ϭⲓϣⲓⲡⲓ
ⲡⲁⲙⲉⲛⲣⲓⲧ	ⲡⲁ|ⲙⲉⲛⲣⲓⲧ
ⲛⲥⲟⲛ	ⲛ|ⲥⲟⲛ
ⲙⲁⲣⲉⲛⲉⲣϩⲩⲡⲟⲙⲉⲛⲉⲓⲛ	ⲙⲁⲣⲉ|ⲛ|ⲉⲣϩⲩⲡⲟⲙⲉⲛⲉⲓⲛ
ⲙⲡⲁⲓⲕⲟⲩϫⲓ	ⲙ|ⲡⲁⲓ|ⲕⲟⲩϫⲓ
ⲛⲥⲏⲟⲩ	ⲛ|ⲥⲏⲟⲩ
ⲉⲧⲉⲡϭⲟⲉⲓⲥ	ⲉⲧⲉ|ⲡ|ϭⲟⲉⲓⲥ
ⲙⲉⲓ	ⲙⲉⲓ
ϣⲁϥϯⲥⲃⲱ	ϣⲁ|ϥ|ϯⲥⲃⲱ
ϫⲉⲡⲁϣⲏⲣⲓ	ϫⲉ|ⲡⲁ|ϣⲏⲣⲓ
ⲉⲉⲣⲃⲱⲕ	ⲉ|ⲉⲣⲃⲱⲕ
ⲥⲉⲃⲧⲉⲧⲉⲕⲯⲩⲭⲏ	ⲥⲉⲃⲧⲉ|ⲧⲉⲕ|ⲯⲩⲭⲏ
ⲉϩⲁⲛⲡⲉⲓⲣⲁⲥⲙⲟⲥ	ⲉ|ϩⲁⲛ|ⲡⲉⲓⲣⲁⲥⲙⲟⲥ
ϫⲉⲁⲣⲓⲇⲟⲕⲓⲙⲁⲍⲉⲓⲛ	ϫⲉ|ⲁⲣⲓⲇⲟⲕⲓⲙⲁⲍⲉⲓⲛ
ⲁⲣⲓⲉⲓⲙⲉⲡⲁϩⲏⲧ	ⲁⲣⲓⲉⲓⲙⲉ|ⲡⲁ|ϩⲏⲧ
ⲁⲣⲉϣⲧⲉⲙⲫⲛⲟⲩϯ	ⲁⲣⲉ|ϣⲧⲉⲙ|ⲫ|ⲛⲟⲩϯ
ⲉⲣⲇⲟⲕⲓⲙⲁⲍⲉⲓⲛ	ⲉⲣⲇⲟⲕⲓⲙⲁⲍⲉⲓⲛ
ⲡⲱⲥ	ⲡⲱⲥ
ϥⲛⲁⲉⲙⲓ	ϥ|ⲛⲁ|ⲉⲙⲓ
ⲉⲡⲉⲛⲙⲉⲓ	ⲉ|ⲡⲉⲛ|ⲙⲉⲓ
ⲉⲧⲟⲛⲓ	ⲉⲧ|ⲟⲛⲓ
ⲁϥϫⲟⲧⲟⲩ	ⲁ|ϥ|ϫⲟⲧ|ⲟⲩ
ϫⲉⲕⲁⲗⲱⲥ	ϫⲉ|ⲕⲁⲗⲱⲥ
ⲁⲕϯⲥⲃⲱ	ⲁ|ⲕ|ϯⲥⲃⲱ
ⲡⲁⲓⲱⲧ	ⲡⲁ|ⲓⲱⲧ
ⲙⲟⲛⲟⲛ	ⲙⲟⲛⲟⲛ
ⲉϭⲟϫⲓ	ⲉ|ϭⲟϫⲓ
ⲛⲥⲱⲕ	ⲛⲥⲱ|ⲕ
ϯⲥⲉⲃⲧⲱⲧ	ϯ|ⲥⲉⲃⲧⲱⲧ
ⲉⲙⲟⲩ	ⲉ|ⲙⲟⲩ
ⲉϫⲉⲛⲫⲣⲁⲛ	ⲉϫⲉⲛ|ⲫ|ⲣⲁⲛ
ⲙⲡⲉⲛϭⲟⲉⲓⲥ	ⲙ|ⲡⲉⲛ|ϭⲟⲉⲓⲥ
ⲉⲧⲁⲓⲭⲁϩⲱⲃ	ⲉⲧ|ⲁ|ⲓ|ⲭⲁ|ϩⲱⲃ
ⲛⲥⲱⲓ	ⲛⲥⲱ|ⲓ
ⲁⲓⲟⲩⲁϩⲅ	ⲁ|ⲓ|ⲟⲩⲁϩ|ⲅ
ϯⲛⲁⲉⲣⲡⲉⲙⲡϣⲁ	ϯ|ⲛⲁ|ⲉⲣ|ⲡⲉ|ⲙⲡϣⲁ
ⲙⲡⲓⲱⲛϧ	ⲙ|ⲡⲓ|ⲱⲛϧ
ϩⲓⲧⲉⲛⲧⲉϥⲙⲉⲧⲁⲅⲁⲑⲟⲥ	ϩⲓⲧⲉⲛ|ⲧⲉϥ|ⲙⲉⲧⲁⲅⲁⲑⲟⲥ
ⲉⲧⲁϥⲥⲱⲧⲉⲙ	ⲉⲧ|ⲁ|ϥ|ⲥⲱⲧⲉⲙ
ⲙⲡⲃ	ⲙ|ⲡ|ⲃ
ϩⲓⲟⲩⲥⲟⲡ	ϩⲓ|ⲟⲩ|ⲥⲟⲡ
ⲁⲩⲙⲟϣⲓ	ⲁ|ⲩ|ⲙⲟϣⲓ
ⲉⲩⲉⲣⲙⲉⲗⲉⲧⲁⲛ	ⲉ|ⲩ|ⲉⲣⲙⲉⲗⲉⲧⲁⲛ
ϧⲉⲛⲡⲥⲁϫⲓ	ϧⲉⲛ|ⲡ|ⲥⲁϫⲓ
ϣⲁⲧⲟⲩⲫⲟϩ	ϣⲁⲧ|ⲟⲩ|ⲫⲟϩ
ⲉⲡⲓⲧⲓⲙⲓ	ⲉ|ⲡⲓ|ⲧⲓⲙⲓ
ⲟⲩⲟⲛ	ⲟⲩⲟⲛ
ⲟⲩⲧⲟⲡⲟⲥ	ⲟⲩ|ⲧⲟⲡⲟⲥ
ⲛⲧⲉⲛⲉϥⲓⲟϯ	ⲛⲧⲉ|ⲛⲉϥ|ⲓⲟϯ
ⲙⲡⲓⲧⲓⲙⲓ	ⲙ|ⲡⲓ|ⲧⲓⲙⲓ
ⲛϫⲉⲟⲩϧⲉⲗⲗⲟ	ⲛϫⲉ|ⲟⲩ|ϧⲉⲗⲗⲟ
ⲙⲙⲟⲛⲁⲭⲟⲥ	ⲙ|ⲙⲟⲛⲁⲭⲟⲥ
ⲁⲩϫⲱⲓⲗⲓ	ⲁ|ⲩ|ϫⲱⲓⲗⲓ
ⲉⲡⲓⲧⲟⲡⲟⲥ	ⲉ|ⲡⲓ|ⲧⲟⲡⲟⲥ
ⲛⲉⲁⲫⲣⲏ	ⲛⲉ|ⲁ|ⲫ|ⲣⲏ
ϩⲱⲧⲡ	ϩⲱⲧⲡ
ⲁϥϣⲟⲡⲟⲩ	ⲁ|ϥ|ϣⲟⲡ|ⲟⲩ
ϧⲉⲛⲟⲩⲣⲁϣⲓ	ϧⲉⲛ|ⲟⲩ|ⲣⲁϣⲓ
ⲙⲉⲛⲧⲟⲓ	ⲙⲉⲛⲧⲟⲓ
ⲙⲡⲉϥⲥⲟⲩⲱⲛⲟⲩ	ⲙⲡⲉ|ϥ|ⲥⲟⲩⲱⲛ|ⲟⲩ
ϫⲉⲁⲕⲉⲙⲓ	ϫⲉ|ⲁ|ⲕ|ⲉⲙⲓ
ϫⲉⲁⲩϫⲓⲙⲓ	ϫⲉ|ⲁ|ⲩ|ϫⲓⲙⲓ
ⲡⲓⲛⲟⲧⲁⲣⲓⲟⲥ	ⲡⲓ|ⲛⲟⲧⲁⲣⲓⲟⲥ
ϫⲉⲙⲫⲏ	ϫⲉ|ⲙⲫⲏ
ⲕⲁⲓ	ⲕⲁⲓ
ⲓⲥϫⲉⲛ	ⲓⲥϫⲉⲛ
ⲉⲧⲁϥϩⲱⲗ	ⲉⲧ|ⲁ|ϥ|ϩⲱⲗ
ϩⲓⲧⲟⲟⲧⲟⲩ	ϩⲓⲧⲟⲟⲧ|ⲟⲩ
ⲥⲉⲉⲣϩⲏⲃⲓ	ⲥⲉ|ⲉⲣϩⲏⲃⲓ
ϫⲉⲁⲛⲟⲕ	ϫⲉ|ⲁⲛⲟⲕ
ϧⲉⲛⲟⲩⲧⲱⲙⲛⲧ	ϧⲉⲛ|ⲟⲩ|ⲧⲱⲙⲛⲧ
ⲙⲉⲛⲉⲛⲥⲱⲥ	ⲙⲉⲛⲉⲛⲥⲱ|ⲥ
ⲁϥⲟⲩⲱϣⲧ	ⲁ|ϥ|ⲟⲩⲱϣⲧ
ⲁϥⲧⲁⲣⲕⲟϥ	ⲁ|ϥ|ⲧⲁⲣⲕⲟ|ϥ
ϫⲉⲙⲡⲣⲧⲁⲙⲉϩⲗⲓ	ϫⲉ|ⲙⲡⲣ|ⲧⲁⲙⲉ|ϩⲗⲓ
ⲟⲩⲥⲩⲅⲅⲉⲛⲏⲥ	ⲟⲩ|ⲥⲩⲅⲅⲉⲛⲏⲥ
ⲟⲩⲇⲓⲁⲕⲱⲛ	ⲟⲩ|ⲇⲓⲁⲕⲱⲛ
ⲫⲓⲗⲟⲑⲉⲟⲥ	ⲫⲓⲗⲟⲑⲉⲟⲥ
ⲛⲁϥⲭⲏ	ⲛⲁ|ϥ|ⲭⲏ
ϧⲁϫⲱⲟⲩ	ϧⲁϫⲱ|ⲟⲩ
ⲛⲛⲉϥⲥⲩⲅⲅⲉⲛⲏⲥ	ⲛ|ⲛⲉϥ|ⲥⲩⲅⲅⲉⲛⲏⲥ
ⲓⲱⲧ	ⲓⲱⲧ
ⲉⲧⲁϥⲟⲩⲱⲣⲡ	ⲉⲧ|ⲁ|ϥ|ⲟⲩⲱⲣⲡ
ϣⲁⲣⲟϥ	ϣⲁⲣⲟ|ϥ
ϫⲉⲓⲥϫⲉ	ϫⲉ|ⲓⲥϫⲉ
ⲁⲓϫⲓⲙⲓ	ⲁ|ⲓ|ϫⲓⲙⲓ
ⲛⲟⲩϩⲙⲟⲧ	ⲛ|ⲟⲩ|ϩⲙⲟⲧ
ⲙⲡⲉⲕⲙⲑⲟ	ⲙ|ⲡⲉⲕ|ⲙⲑⲟ
ⲉϫⲱⲓ	ⲉϫⲱ|ⲓ
ⲛⲁϩⲣⲉⲛⲛⲁⲓⲟϯ	ⲛⲁϩⲣⲉⲛ|ⲛⲁ|ⲓⲟϯ
ⲛⲧⲟⲩϣⲧⲉⲙⲧⲁϩⲛⲟ	ⲛⲧ|ⲟⲩ|ϣⲧⲉⲙ|ⲧⲁϩⲛⲟ
ⲉⲧⲁⲡⲓⲇⲓⲁⲕⲱⲛ	ⲉⲧ|ⲁ|ⲡⲓ|ⲇⲓⲁⲕⲱⲛ
ϩⲓⲧⲟⲧϥ	ϩⲓⲧⲟⲧ|ϥ
ⲛⲉⲙⲛⲉϥⲓⲟϯ	ⲛⲉⲙ|ⲛⲉϥ|ⲓⲟϯ
ⲁⲩⲱⲣⲕ	ⲁ|ⲩ|ⲱⲣⲕ
ⲙⲡⲓϩⲱⲃ	ⲙ|ⲡⲓ|ϩⲱⲃ
ⲉⲧⲁⲩⲥⲱⲧⲉⲙ	ⲉⲧ|ⲁ|ⲩ|ⲥⲱⲧⲉⲙ
ⲁⲩϣⲱⲡⲓ	ⲁ|ⲩ|ϣⲱⲡⲓ
ϧⲉⲛⲟⲩϧⲣⲱⲟⲩ	ϧⲉⲛ|ⲟⲩ|ϧⲣⲱⲟⲩ
ⲛⲣⲁϣⲓ	ⲛ|ⲣⲁϣⲓ
ⲛϫⲉⲟⲩϭⲟϫⲓ	ⲛϫⲉ|ⲟⲩ|ϭⲟϫⲓ
ⲛⲧⲉⲡⲓⲧⲓⲙⲓ	ⲛⲧⲉ|ⲡⲓ|ⲧⲓⲙⲓ
ⲉⲟⲩⲥⲟⲡ	ⲉ|ⲟⲩ|ⲥⲟⲡ
ⲉϫⲉⲛⲡⲓⲁⲗⲟⲩ	ⲉϫⲉⲛ|ⲡⲓ|ⲁⲗⲟⲩ
ⲙⲡⲟⲩⲉⲙⲓ	ⲙⲡ|ⲟⲩ|ⲉⲙⲓ
ⲉⲧⲟⲩⲛⲁⲁⲓϥ	ⲉⲧ|ⲟⲩ|ⲛⲁ|ⲁⲓ|ϥ
